Ruta,X,Y,Direccion,Ruta,X,Y,Direccion,Ruta,X,Y,Direccion,Ruta,X,Y,Direccion
40,21.858462,-102.306168,2,,,,,,,,,,,,
40,21.858428,-102.306529,2,,,,,,,,,,,,
40,21.858864,-102.311311,2,,,,,,,,,,,,
40,21.859115,-102.314017,2,,,,,,,,,,,,
40,21.859182,-102.314757,2,,,,,,,,,,,,
40,21.859701,-102.315858,2,,,,,,,,,,,,
40,21.860304,-102.316543,2,,,,,,,,,,,,
40,21.861359,-102.317139,2,,,,,,,,,,,,
40,21.863402,-102.317446,2,,,,,,,,,,,,
40,21.867772,-102.318221,2,,,,,,,,,,,,
40,21.871339,-102.318727,2,,,,,,,,,,,,
40,21.871774,-102.318745,2,,,,,,,,,,,,
40,21.880632,-102.317987,2,,,,,,,,,,,,
40,21.885002,-102.317626,2,,,,,,,,,,,,
40,21.886158,-102.317446,2,,,,,,,,,,,,
40,21.887681,-102.317103,2,,,,,,,,,,,,
40,21.888217,-102.317049,2,,,,,,,,,,,,
40,21.892738,-102.317121,2,,,,,,,,,,,,
40,21.898631,-102.317175,2,,,,,,,,,,,,
40,21.900138,-102.316995,2,,,,,,,,,,,,
40,21.901879,-102.316561,2,,,,,,,,,,,,
40,21.903034,-102.316345,2,,,,,,,,,,,,
40,21.903938,-102.316381,2,,,,,,,,,,,,
40,21.909512,-102.317518,2,,,,,,,,,,,,
40,21.910634,-102.317698,2,,,,,,,,,,,,
40,21.913195,-102.318673,2,,,,,,,,,,,,
40,21.914166,-102.319033,2,,,,,,,,,,,,
40,21.914786,-102.319088,2,,,,,,,,,,,,
40,21.915422,-102.318889,2,,,,,,,,,,,,
40,21.916024,-102.318312,2,,,,,,,,,,,,
40,21.916259,-102.317716,2,,,,,,,,,,,,
40,21.916583,-102.313658,2,,,,,,,,,,,,
40,21.916039,-102.303884,2,,,,,,,,,,,,
40,21.915802,-102.297428,2,,,,,,,,,,,,
40,21.915613,-102.292044,2,,,,,,,,,,,,
40,21.915513,-102.288628,2,,,,,,,,,,,,
40,21.915414,-102.288307,2,,,,,,,,,,,,
40,21.915314,-102.286461,2,,,,,,,,,,,,
40,21.915095,-102.281011,2,,,,,,,,,,,,
40,21.914916,-102.277492,2,,,,,,,,,,,,
40,21.914717,-102.276398,2,,,,,,,,,,,,
40,21.914259,-102.275625,2,,,,,,,,,,,,
40,21.913502,-102.275003,2,,,,,,,,,,,,
40,21.908824,-102.272492,2,,,,,,,,,,,,
40,21.905778,-102.270926,2,,,,,,,,,,,,
40,21.904302,-102.270209,2,,,,,,,,,,,,
40,21.903264,-102.270119,2,,,,,,,,,,,,
40,21.903012,-102.269781,2,,,,,,,,,,,,
40,21.904219,-102.266049,2,,,,,,,,,,,,
40,21.905142,-102.263102,2,,,,,,,,,,,,
40,21.905036,-102.262942,2,,,,,,,,,,,,
40,21.904722,-102.261456,2,,,,,,,,,,,,
40,21.904219,-102.260786,2,,,,,,,,,,,,
40,21.903453,-102.259565,2,,,,,,,,,,,,
40,21.902918,-102.259322,2,,,,,,,,,,,,
40,21.900117,-102.259201,2,,,,,,,,,,,,
40,21.898793,-102.258988,2,,,,,,,,,,,,
40,21.897216,-102.258819,2,,,,,,,,,,,,
40,21.894169,-102.258927,2,,,,,,,,,,,,
