Ruta,X,Y,Direccion,Ruta,X,Y,Direccion,Ruta,X,Y,Direccion,Ruta,X,Y,Direccion,Direccion,Ruta,X,Y,Direccion,Ruta,X,Y,Direccion
3,21.850117,-102.294111,1,4,21.946407,-102.325158,1,5,21.960579,-102.270825,1,6,21.878529,-102.295933,1,,8,21.914198,-102.275839,1,9,21.899999,-102.272698,1
3,21.847892,-102.293998,1,4,21.950614,-102.324267,1,5,21.961821,-102.274217,1,6,21.880431,-102.296545,1,,8,21.913761,-102.275369,1,9,21.899857,-102.271805,1
3,21.844667,-102.293846,1,4,21.952782,-102.334855,1,5,21.971435,-102.264913,1,6,21.881188,-102.296566,1,,8,21.912917,-102.274914,1,9,21.899383,-102.270708,1
3,21.841399,-102.293649,1,4,21.953034,-102.335711,1,5,21.968086,-102.268246,2,6,21.882771,-102.297414,1,,8,21.908778,-102.272699,1,9,21.902767,-102.270098,1
3,21.831724,-102.293619,1,4,21.958733,-102.342475,1,5,21.961928,-102.274236,2,6,21.883906,-102.297854,1,,8,21.909735,-102.270665,1,9,21.906972,-102.256908,1
3,21.831841,-102.293615,2,4,21.959417,-102.342928,1,5,21.960599,-102.270966,2,6,21.884503,-102.297843,1,,8,21.911115,-102.269087,1,9,21.907341,-102.256444,1
3,21.841379,-102.293606,2,4,21.960037,-102.343164,1,5,21.955218,-102.273012,2,6,21.886992,-102.296921,1,,8,21.912325,-102.266372,1,9,21.908099,-102.256113,1
3,21.844446,-102.293713,2,4,21.960637,-102.342976,1,5,21.955431,-102.273369,2,6,21.890038,-102.295054,1,,8,21.914237,-102.266722,1,9,21.908611,-102.255715,1
3,21.850119,-102.293953,2,4,21.963153,-102.342141,1,5,21.955538,-102.273433,2,6,21.890884,-102.295622,1,,8,21.914446,-102.265865,1,9,21.909791, -102.253482,1
3,21.850318,-102.297097,2,4,21.964556,-102.347693,1,5,21.956544,-102.279276,2,6,21.892019,-102.296384,1,,8,21.917443,-102.265377,1,9,21.909994,-102.253435,1
3,21.849902,-102.298715,2,4,21.966275,-102.347288,1,5,21.960295,-102.277873,2,6,21.894886,-102.297264,1,,8,21.919837,-102.264872,1,9,21.911197,-102.253732,1
3,21.849675,-102.301025,2,4,21.967073,-102.350978,1,5,21.959123,-102.271481,2,6,21.898908,-102.298584,1,,8,21.920037,-102.264755,1,9,21.911595,-102.253494,1
3,21.852933,-102.300853,2,4,21.966981,-102.350986,2,5,21.959537,-102.271341,2,6,21.900736,-102.299167,1,,8,21.922314,-102.262202,1,9,21.912397,-102.251971,1
3,21.853402,-102.300944,2,4,21.963152,-102.351162,2,5,21.960579,-102.277095,2,6,21.900194,-102.301231,1,,8,21.922548,-102.262066,1,9,21.913539,-102.252471,1
3,21.854097,-102.300898,2,4,21.961956,-102.347408,2,5,21.960733,-102.277146,2,6,21.903136,-102.302149,1,,8,21.924741,-102.263239,1,9,21.915893,-102.249285,1
3,21.854122,-102.301151,2,4,21.960822,-102.347721,2,5,21.962709,-102.290007,2,6,21.903038,-102.303674,1,,8,21.925461,-102.263889,1,9,21.916306,-102.248856,1
3,21.853988,-102.301268,2,4,21.960705,-102.347805,2,5,21.952812,-102.290276,2,6,21.909753,-102.303218,1,,8,21.925594,-102.263867,1,9,21.915946,-102.247863,1
3,21.853762,-102.301142,2,4,21.959817,-102.346185,2,5,21.944578,-102.290637,2,6,21.910055,-102.297013,1,,8,21.931332,-102.260177,1,9,21.915767,-102.246737,1
3,21.853293,-102.301187,2,4,21.959214,-102.344481,2,5,21.930786,-102.291359,2,6,21.915602,-102.297407,1,,8,21.929995,-102.257703,1,9,21.917349,-102.245521,1
3,21.853557,-102.302528,2,4,21.959047,-102.343024,2,5,21.915587,-102.292081,2,6,21.925082,-102.298045,1,,8,21.929847,-102.256852,1,9,21.917128,-102.245453,1
3,21.854135,-102.303559,2,4,21.954829,-102.338058,2,5,21.907887,-102.292441,2,6,21.929424,-102.298272,1,,8,21.929871,-102.256202,1,9,21.912751,-102.245703,1
